gameId,game,boxart,naRelDate2,euRelDate2,loosePrice,licensed,wikipediaUrl
153,Conflict,,1990-03-01,,699,1,/wiki/Conflict_(video_game)
154,Conquest of the Crystal Palace,,1990-11-01,,799,1,/wiki/Conquest_of_the_Crystal_Palace
155,Contra,,1988-02-01,1990-12-28,2140,1,/wiki/Contra_(video_game)
156,Contra Force,,1992-09-01,,7999,1,/wiki/Contra_Force
157,Cool World,,1993-06-01,,1800,1,/wiki/Cool_World_(NES_video_game)
158,Cowboy Kid,,1992-01-01,,6919,1,/wiki/Cowboy_Kid
159,Crackout,,,1991-01-01,0,1,/wiki/Crackout_(video_game)
160,Crash 'n the Boys: Street Challenge,,1992-10-01,,1550,1,/wiki/Crash_%27n_the_Boys:_Street_Challenge
161,Crystal Mines,,,,1664,0,/wiki/Crystal_Mines
162,Crystalis,,1990-07-01,,1199,1,/wiki/Crystalis
163,Cyberball,,1992-01-01,,384,1,/wiki/Cyberball
164,Cybernoid,,1989-12-01,,224,1,/wiki/Cybernoid
165,Dance Aerobics,,1989-03-01,,355,1,/wiki/Dance_Aerobics
166,Danny Sullivan's Indy Heat,,1992-08-01,,850,1,/wiki/Danny_Sullivan%27s_Indy_Heat
167,Darkman,,1991-10-01,,683,1,/wiki/Darkman_(video_game)
168,Darkwing Duck,,1992-06-01,1993-12-09,2235,1,/wiki/Darkwing_Duck_(Capcom)
169,Dash Galaxy in the Alien Asylum,,1990-02-01,,317,1,/wiki/Dash_Galaxy_in_the_Alien_Asylum
170,Day Dreamin' Davey,,1992-06-01,,504,1,/wiki/Day_Dreamin%27_Davey
171,Days of Thunder,,1990-10-01,1991-04-25,303,1,/wiki/Days_of_Thunder_(video_game)
172,Deadly Towers,,1987-09-01,,259,1,/wiki/Deadly_Towers
173,Death Race,,,,2950,0,/wiki/Death_Race_(1990_video_game)
174,Deathbots,,,,1350,0,/wiki/Deathbots
175,Decathlon,,,,0,0,/wiki/Decathlon_(1992_video_game)
176,Defender II,,1988-07-01,,342,1,/wiki/Defender_II
177,Defender of the Crown,,1989-07-01,1991-07-25,349,1,/wiki/Defender_of_the_Crown
178,Defenders of Dynatron City,,1992-07-01,,947,1,/wiki/Defenders_of_Dynatron_City
179,Demon Sword,,1990-01-01,,399,1,/wiki/Demon_Sword
180,Desert Commander,,1989-06-01,,325,1,/wiki/Desert_Commander
181,Destination Earthstar,,1990-02-01,,225,1,/wiki/Destination_Earthstar
182,Destiny of an Emperor,,1990-09-01,,1350,1,/wiki/Destiny_of_an_Emperor
183,Devil World,,,1987-07-15,2500,1,/wiki/Devil_World
184,Dick Tracy,,1990-08-01,,421,1,/wiki/Dick_Tracy_(video_game)
185,Die Hard,,1992-01-01,,4732,1,/wiki/Die_Hard_(video_game)
186,Dig Dug II,,1989-12-01,,500,1,/wiki/Dig_Dug_II
187,Digger T. Rock: Legend of the Lost City,,1990-12-01,,0,1,/wiki/Digger_T._Rock:_Legend_of_the_Lost_City
188,Dirty Harry: The War Against Drugs,,1990-12-01,,0,1,/wiki/Dirty_Harry:_The_War_Against_Drugs
189,Dizzy the Adventurer,,,,0,0,/wiki/Dizzy_Prince_of_the_Yolkfolk
190,Donkey Kong,,1986-06-01,1986-10-15,2349,1,/wiki/Donkey_Kong_(video_game)
191,Donkey Kong 3,,1986-06-01,,1000,1,/wiki/Donkey_Kong_3
192,Donkey Kong Classics,,1988-10-01,1989-08-10,1050,1,/wiki/Donkey_Kong_(video_game)
193,Donkey Kong Jr.,,1986-06-01,1987-06-15,1544,1,/wiki/Donkey_Kong_Jr.
194,Donkey Kong Jr. Math,,1985-10-01,,3382,1,/wiki/Donkey_Kong_Jr._Math
195,Double Dare,,1990-04-01,,500,1,/wiki/Double_Dare_(video_game)
196,Double Dragon,,1988-06-01,1994-11-24,821,1,/wiki/Double_Dragon
197,Double Dragon II: The Revenge,,1990-01-01,,700,1,/wiki/Double_Dragon_II:_The_Revenge
198,Double Dragon III: The Sacred Stones,,1991-02-01,1994-11-24,999,1,/wiki/Double_Dragon_3:_The_Rosetta_Stone
199,Double Dribble,,1987-09-01,1988-01-01,221,1,/wiki/Double_Dribble_(video_game)
200,Double Strike,,,,809,0,/wiki/Double_Strike
201,Dr. Chaos,,1988-11-01,,494,1,/wiki/Dr._Chaos
202,Dr. Jekyll and Mr. Hyde,,1989-04-01,,872,1,/wiki/Dr._Jekyll_and_Mr._Hyde_(video_game)
203,Dr. Mario,,1990-10-01,1991-06-27,381,1,/wiki/Dr._Mario
204,Dragon Fighter,,1992-01-01,,9250,1,/wiki/Dragon_Fighter_(video_game)
205,Dragon Power,,1988-03-01,,334,1,/wiki/Dragon_Power
206,Dragon Spirit,,1990-06-01,,304,1,/wiki/Dragon_Spirit
207,Dragon Warrior,,1989-08-01,,504,1,/wiki/Dragon_Warrior
208,Dragon Warrior II,,1990-09-01,,2249,1,/wiki/Dragon_Warrior_II
209,Dragon Warrior III,,1992-03-01,,3700,1,/wiki/Dragon_Warrior_III
210,Dragon Warrior IV,,1992-10-01,,5300,1,/wiki/Dragon_Quest_IV:_Chapters_of_the_Chosen
211,Dragon's Lair,,1990-12-01,1992-01-03,800,1,/wiki/Dragon%27s_Lair
212,Dropzone,,,1992-01-01,2500,1,/wiki/Dropzone
213,Duck Hunt,,1985-10-01,1987-08-15,299,1,/wiki/Duck_Hunt
214,DuckTales,,1989-09-01,1990-12-14,0,1,/wiki/DuckTales_(video_game)
215,DuckTales 2,,1993-06-01,1993-11-18,0,1,/wiki/DuckTales_2
216,Dudes with Attitude,,,,617,0,/wiki/Dudes_with_Attitude
217,Dungeon Magic: Sword of the Elements,,1990-07-01,,0,1,/wiki/Dungeon_Magic:_Sword_of_the_Elements
218,Dusty Diamond's All-Star Softball,,1990-07-01,,3999,1,/wiki/Dusty_Diamond%27s_All-Star_Softball
219,Dynowarz: Destruction of Spondylus,,1989-04-01,,0,1,/wiki/Dynowarz:_Destruction_of_Spondylus
220,Déjà Vu,,1990-12-01,1992-09-24,0,1,/wiki/D%C3%A9j%C3%A0_Vu_(video_game)
221,Elevator Action,,1987-08-01,,419,1,/wiki/Elevator_Action
